date,id,pdf,pm,release_type,subjects,title
1977-08-25,6007,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00006007.pdf,"Fraser, Malcolm",Statement in Parliament,,"URANIUM-AUSTRALIA'S DECISION - STATEMENT BY THE PRIME MINISTER, THE RT HON MALCOLM FRASER"
1988-05-09,7319,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00007319.pdf,"Hawke, Robert",Speech,,SPEECH BY THE PRIME MINISTER OPENING OF THE NEW PARLIAMENT HOUSE CANBERRA - 9 MAY 1988
2018-06-22,41679,,"Turnbull, Malcolm",Transcript,Tax Relief; Energy,Radio interview with Sabra Lane - ABC AM
1978-01-19,4610,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00004610.pdf,"Fraser, Malcolm",Media Release,,"VICTORIAN BUSHFIRES - JOINT STATEMENT BY THE PRIME MINISTER AND THE ACTING PREMIER OF VICTORIA, 19 JANUARY 1978"
1997-05-17,10350,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00010350.pdf,"Howard, John",Speech,,"TRANSCRIPT OF THE PRIME MINISTER THE HON. JOHN HOWARD MP ADDRESS TO PARTICIPANTS AT THE LONGREACH COMMUNITY MEETING TO DISCUSS THE WIK 10 POINT PLAN LONGREACH, QLD"
2016-11-05,40567,,"Turnbull, Malcolm",Transcript,,Address to the Tasmanian Liberal State Conference
2009-07-29,16721,,"Rudd, Kevin",Website Updates,,Prime Minister's blog update
2013-06-16,19412,,"Gillard, Julia",Media Release,,2013 National Awards For Local Government
1970-07-20,2261,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00002261.pdf,"Gorton, John",Media Release,,AUTHORITY TO CALL OUT TROOPS IN NEW GUINEA
2008-08-04,16047,,"Rudd, Kevin",Media Release,,Visit to Republic of Korea and Singapore
2013-05-26,19374,,"Gillard, Julia",Video Transcript,,Transcript of Joint Doorstop Interview
1971-12-25,2507,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00002507.pdf,"McMahon, William",Media Release,,"QUEENSLAND CYCLONE - STATEMENT BY THE PRIME MINISTER, MR WILLIAM MCMAHON"
1980-02-26,5268,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00005268.pdf,"Fraser, Malcolm",Media Release,,SUMMARY OF ABC'S 7.45AM NEWS
2016-02-22,40201,,"Turnbull, Malcolm",Transcript,,Joint Press Conference
2000-03-08,11728,,"Howard, John",Speech,,"Address at the Memorial Service for Dr Malcolm Mcintosh, Parliament House, Canberra"
2005-07-20,21833,,"Howard, John",Interview,,"Doorstop Interview London University College Hospital London, United Kingdom"
1976-07-02,4176,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00004176.pdf,"Fraser, Malcolm",Media Release,,JOINT PRESS STATEMENT - GOVERNMENT/EMPLOYER TALKS
1997-07-31,10436,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00010436.pdf,"Howard, John",Media Release,,TERRORIST BOMBING IN JERUSALEM
2010-06-21,17359,,"Rudd, Kevin",Speech,,Prime Minister Remarks to the House of Representatives regarding an incident in Afghanistan Canberra 21 June 2010
1975-02-14,3619,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00003619.pdf,"Whitlam, Gough",Speech,,"SPEECH BY THE PRIME MINISTER THE HON, E.G WHITLAM, QC, MP, FOR THE OPENING OF THE NEPEAN DISTRICT AGRICULTURAL HORTICULUTRAL AND INDUSTRIAL SOCIETY;S ANNUAL AGRICULTURAL SHOW"
2015-09-06,24793,,"Abbott, Tony",Transcript,"Syrian refugees,  two year anniversary of the Abbott Government,  the Government’s record of achievement,  Jarryd Hayne,  Father’s Day.","Press Conference, Parliament House, Canberra"
1994-12-14,9452,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00009452.pdf,"Keating, Paul",Interview,,"TRANSCRIPT OF THE PRIME MINISTER, THE HON P.J.KEATING MP DOORSTOP, CONDELL PARK PRIMARY SCHOOL, 14 DECEMBER 1994"
2001-10-26,12221,,"Howard, John",Media Release,,ARTS FOR ALL
1985-10-11,6761,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00006761.pdf,"Hawke, Robert",Interview,,"TRANSCRIPT INTERVIEW WITH MAX WALSH FOR THE NATIONAL, 11 OCTOBER 1985"
1993-10-09,8994,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00008994.pdf,"Keating, Paul",Speech,,"SPEECH BY THE PRIME MINISTER, THE HON P J KEATING MP OPENING THE ADVANCED MANUFACTURING TECHNOLOGIES CENTRE EAST PERTH COLLEGE OF TAFE PERTH WA"
1992-12-08,8758,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00008758.pdf,"Keating, Paul",Interview,,"TRANSCRIPT OF INTERVIEW/ TALKBACK WITH PETER KENNEDY/GERRY GANNON, ABC RADIO - 8 DECEMBER 1992"
2015-09-04,24787,,"Abbott, Tony",Transcript,"Visit to Albury-Wodonga,  Launch of Spirit of Anzac Centenary Experience,  Sophie Mirabella,  Bill Shorten and the CFMEU’s joint plan to sabotage Australia’s economic future by standing in the way of the China-Australia Free Trade Agreement.","Interview with Joseph Thomsen, ABC Goulburn Murray"
2001-06-29,12235,,"Howard, John",Media Release,,Labor Blocks Education Reforms
1994-12-09,9446,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00009446.pdf,"Keating, Paul",Media Release,,"STATEMENT BY THE PRIME MINISTER, THE HON P J KEATING MP MEETING OF THE PRIME MINISTER'S SCIENCE AND ENGINEERING COUNCIL"
1985-11-08,6775,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00006775.pdf,"Hawke, Robert",Speech,,"SPEECH BY THE PRIME  MINISTER TO THE ADELAIDE CHAMBER OF COMMERCE ANNUAL DINNER, ADELAIDE, 8 NOVEMBER 1985"
1993-09-23,8980,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00008980.pdf,"Keating, Paul",Press Conference,,"Sydney Olympic Bid Presentation, Monte Carlo, Monaco"
2008-08-08,16053,,"Rudd, Kevin",Media Release,,"Joint Media Release with the Minister for Trade, Simon Crean Australian and Chinese Banks sign Memorandum of Understanding Beijing"
1972-01-14,2513,https://pmtranscripts.pmc.gov.au/sites/default/files/original/00002513.pdf,"McMahon, William",Media Release,,"PREMIERS' CONFERENCE - STATEMENT BY THE PRIME MINISTER, MR WILLIAM MCMAHON"
2013-05-17,19360,,"Gillard, Julia",Speech,,Remarks to Business Roundtable
2016-02-24,40215,,"Turnbull, Malcolm",Media Release,,Turnbull Government backing FinTech
